epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,1916.87,0.7955,0.4171,0.83322,0.99138,0.96631,0.98267,0.73609,0.95823,0.46223,0.8687,0.000812,0.000812,0.000812
122,1930.48,0.76233,0.47481,0.8166,0.98458,0.94958,0.97583,0.72316,0.93693,0.49651,0.84363,0.0008021,0.0008021,0.0008021
123,1942.32,0.76804,0.40464,0.83285,0.97767,0.95798,0.98228,0.73447,0.94758,0.46198,0.87183,0.0007922,0.0007922,0.0007922
124,1955.89,0.79156,0.41346,0.83487,0.99137,0.96568,0.97925,0.72098,1.01752,0.47791,0.90522,0.0007823,0.0007823,0.0007823
125,1972.27,0.79518,0.41771,0.8223,0.98815,0.94958,0.97691,0.75195,0.94447,0.44989,0.8841,0.0007724,0.0007724,0.0007724
126,1988.97,0.74208,0.39064,0.82922,0.97168,0.96639,0.98016,0.74405,0.9338,0.46269,0.85552,0.0007625,0.0007625,0.0007625
127,2002.36,0.72858,0.39247,0.83241,0.99055,0.95798,0.98291,0.72077,0.98776,0.46115,0.86699,0.0007526,0.0007526,0.0007526
128,2018.62,0.72938,0.38281,0.82425,0.99088,0.95798,0.98396,0.72672,0.96153,0.46877,0.86563,0.0007427,0.0007427,0.0007427
129,2036.08,0.76569,0.39516,0.83738,0.98537,0.94958,0.98439,0.75101,0.94573,0.44753,0.87754,0.0007328,0.0007328,0.0007328
130,2053.35,0.77022,0.40516,0.81884,0.96606,0.95798,0.96915,0.69548,1.02653,0.47734,0.8855,0.0007229,0.0007229,0.0007229
131,2070.16,0.82144,0.45738,0.83673,0.9906,0.95798,0.98217,0.73826,0.95037,0.4387,0.89119,0.000713,0.000713,0.000713
132,2086.9,0.79139,0.40287,0.82462,0.98143,0.96639,0.98049,0.74672,0.94447,0.45385,0.87225,0.0007031,0.0007031,0.0007031
133,2103.36,0.74452,0.40149,0.81058,0.97248,0.94958,0.97733,0.75187,0.91465,0.47423,0.86213,0.0006932,0.0006932,0.0006932
134,2121.18,0.74987,0.40504,0.8219,0.97209,0.96639,0.97653,0.73628,0.9452,0.4552,0.89653,0.0006833,0.0006833,0.0006833
135,2137.82,0.79253,0.40521,0.85324,0.98207,0.96639,0.98468,0.76322,0.92759,0.43124,0.90242,0.0006734,0.0006734,0.0006734
136,2155.87,0.75017,0.39304,0.82633,0.99118,0.94958,0.97929,0.72192,0.97458,0.47996,0.85466,0.0006635,0.0006635,0.0006635
137,2171.84,0.71019,0.38754,0.82306,0.99051,0.95798,0.97838,0.73845,0.95138,0.45829,0.85165,0.0006536,0.0006536,0.0006536
138,2188.44,0.74414,0.38932,0.82221,0.98756,0.95798,0.97825,0.75242,0.89379,0.45631,0.83904,0.0006437,0.0006437,0.0006437
139,2205.53,0.74993,0.39763,0.80738,0.9826,0.94884,0.97832,0.7481,0.92879,0.44529,0.85866,0.0006338,0.0006338,0.0006338
